"","...1","sample","type","score.meth","score.delfi","score.meth_reg","ens_preds"
"74",21,"PGDX18451P","healthy",0.0283833642247869,0.108383575949986,0.0780272854598191,0.0524684753927159
"75",22,"PGDX18691P","healthy",0.0999768193614625,0.202667820486472,0.128047167288177,0.0835219338590347
"76",23,"PGDX18695P","healthy",0.117722969804953,0.0163001994922949,0.14178863565937,0.049597135859278
"77",24,"PGDX18705P","healthy",0.0342672384345083,0.125370714146268,0.0430309019225004,0.0487596928131769
"78",25,"PGDX18706P","healthy",0.0518667925673891,0.132269036031733,0.0513104235030458,0.0513253188143195
"79",26,"PGDX8258P","cancer",0.15047478807768,0.363992344118747,0.452795172045202,0.346260901495172
"80",1,"PGDX16570P","healthy",0.243951895387268,0.0402245825499989,0.0629152902593955,0.0544559872016915
"81",2,"PGDX16586P","healthy",0.300971598763372,0.0338229046579053,0.0638418324497433,0.0536114373229637
"82",3,"PGDX16597P","cancer",0.913730714906961,0.0353476442557634,0.696056733086603,0.231813366535288
"83",4,"PGDX16598P","cancer",0.814819616305983,0.991694403736055,0.902695849198734,0.898513757978165
"84",5,"PGDX17724P","cancer",0.804307452417539,0.469321594334656,0.820360648846592,0.602470584564502
"85",6,"PGDX17745P","cancer",0.0944553763872088,0.735636192510426,0.160859865672003,0.369254322177685
"86",7,"PGDX17755P","cancer",0.991256219615721,0.920761820872937,0.953945714170436,0.891473679969189
"87",8,"PGDX17941P","healthy",0.0256250223597197,0.445140696772717,0.0401402189759568,0.15255457975976
"88",9,"PGDX17958P","healthy",0.118192626465555,0.576862443079159,0.0859681424195338,0.23085594785614
"89",10,"PGDX17961P","healthy",0.0937299717187596,0.163910981623908,0.0637814448997385,0.0768738146597023
"90",11,"PGDX17984P","healthy",0.029497506252655,0.0136504343522736,0.0399366628504734,0.0477093922300458
"91",12,"PGDX17990P","healthy",0.0256250223597197,0.391941872239825,0.0296614702699924,0.130110445174754
"92",13,"PGDX17991P","healthy",0.0451920676781344,0.0632510135528754,0.0296614702699924,0.053459473355612
"93",14,"PGDX18248P","healthy",0.030313802104223,0.105892822875216,0.0475750529794111,0.0629572601678456
"94",15,"PGDX18253P","healthy",0.0523760804605608,0.129656716748325,0.0782481032341443,0.0724989815979964
"95",16,"PGDX18254P","healthy",0.0554263059421731,0.224340163698903,0.0345087303066702,0.0844168817629767
"96",17,"PGDX18267P","healthy",0.181587577772892,0.176562287743464,0.152292905029589,0.0984512051398047
"97",18,"PGDX18268P","healthy",0.0643049793283393,0.278356656001087,0.0865530559153693,0.110424709743985
"98",19,"PGDX18272P","healthy",0.100861738119856,0.0491727165830407,0.0346390286047365,0.0520316411595055
"99",20,"PGDX18281P","healthy",0.0499231458235334,0.032716837730563,0.0754582626621593,0.0550175091005076
"100",21,"PGDX18347P","healthy",0.0934721130059345,0.0495864565418502,0.0632366253926265,0.055946837223434
"101",22,"PGDX18433P","healthy",0.030313802104223,0.0891259914041203,0.0508202606925852,0.0605747922683455
"102",23,"PGDX18438P","healthy",0.226117649592054,0.35031180463807,0.0296614702699924,0.116774893025295
"103",24,"PGDX18459P","healthy",0.196017016657593,0.0252222672474113,0.0509325615086977,0.0506692014824698
"104",25,"PGDX18707P","healthy",0.0441934314032104,0.133050019972273,0.0651059051739075,0.0708604586058059
"105",26,"PGDX18708P","healthy",0.0306130499318417,0.327824926589016,0.0531088090660877,0.116285247622633
"106",27,"PGDX8259P","cancer",0.854587367715872,0.652739257121048,0.905461735244031,0.765629830330734
"107",1,"PGDX16588P","healthy",0.139518151392756,0.523713611836554,0.0300588619563374,0.156037589721879
"108",2,"PGDX16606P","cancer",0.962603122456358,0.809778646994153,0.946656402820424,0.963415794903561
"109",3,"PGDX17737P","cancer",0.981062808290138,0.988750664388382,0.936533308524817,0.981023440264348
"110",4,"PGDX17738P","cancer",0.707685405524263,0.750665814414873,0.702470427727862,0.882700563292851
"111",5,"PGDX17748P","cancer",0.0634961593315237,0.151367562201121,0.0824244493163495,0.0492146740037762
"112",6,"PGDX17759P","cancer",0.979956240465925,1,0.975681961781959,0.984530746456639
"113",7,"PGDX17761P","cancer",0.990179004242944,0.737391736117215,0.950341982132681,0.952408978758046
"114",8,"PGDX17955P","healthy",0.659049030722584,0.182569922144418,0.421795635747517,0.193998688869309
"115",9,"PGDX17969P","healthy",0.0174627032859016,0.47160004905207,0.0484498813037848,0.139413479725987
"116",10,"PGDX17981P","healthy",0.0382259438185414,0.175007442001273,0.134135377931259,0.0659089781199887
"117",11,"PGDX17986P","healthy",0.0368900972427895,0.473304258244269,0.0777547007092774,0.155588397306504
"118",12,"PGDX18240P","healthy",0.0318175270262488,0.0161410318691189,0.0412214382605691,0.0247470244555829
"119",13,"PGDX18245P","healthy",0.0129038432338561,0.00052151648394405,0.0300588619563374,0.0222486048113364
"120",14,"PGDX18246P","healthy",0.01990004393013,0.0179807148782812,0.0505555055246152,0.0258868670802365
"121",15,"PGDX18266P","healthy",0.0683615719351521,0.0731575117061897,0.0257231224680074,0.0290243680371153
"122",16,"PGDX18282P","healthy",0.0315858477127221,0.934082770205673,0.0345819942838815,0.493502043659072
"123",17,"PGDX18340P","healthy",0.0186143806665807,0.035226075456531,0.0346913185613516,0.0259639497889669
"124",18,"PGDX18343P","healthy",0.098623029662567,0.21810099175079,0.0686027674554323,0.0600084008854948
"125",19,"PGDX18346P","healthy",0.0196822654805128,0.00321749918291481,0.036057760980578,0.0230397938845184
"126",20,"PGDX18434P","healthy",0.0199184837555669,0.00170482712892772,0.0587972585114075,0.0251194006510792
"127",21,"PGDX18443P","healthy",0.0239782882923428,0.171898482618434,0.0639613476930418,0.0494677762024643
"128",22,"PGDX18453P","healthy",0.0117391785758829,0.117080814600238,0.0346913185613516,0.0356750539171845
"129",23,"PGDX18692P","healthy",0.168160504992731,0.182753771533311,0.115569927037537,0.0631197832654254
"130",24,"PGDX18696P","healthy",0.0190651340235501,0.0846126127091285,0.0493347611787631,0.0333730773470577
"131",25,"PGDX18699P","healthy",0.283268000344817,0.82124092175041,0.307104614892311,0.658354609603574
"132",26,"PGDX18711P","healthy",0.0143319080163596,0.119773781770954,0.0257231224680074,0.0347735798044969
"133",27,"PGDX8176P","cancer",0.131048778230147,0.987355907176287,0.419203173353897,0.856620906995545
"134",1,"PGDX16593P","healthy",0.0379494837804826,0.245333460411194,0.0631459066216285,0.0655347723140302
"135",2,"PGDX16603P","cancer",0.0134252882429223,0.355613243573866,0.0499418878285777,0.0915208648147289
"136",3,"PGDX16607P","cancer",0.859641402949643,0.111103399976093,0.824154668625242,0.460019093063677
"137",4,"PGDX17733P","cancer",0.609589812549515,0.545687604600557,0.64807845104465,0.685208270253761
"138",5,"PGDX17736P","cancer",0.0227375443512503,0.396240363183808,0.0424988654740515,0.102298322178865
"139",6,"PGDX17753P","cancer",0.05591093790428,0.0504605387485616,0.0994135199435775,0.0374566859836243
"140",7,"PGDX17763P","cancer",0.96919094054373,0.67045333929296,0.802122209441536,0.864599457709005
"141",8,"PGDX17946P","healthy",0.0127132678639689,0.0625122904625758,0.214606077243958,0.0602670102723448
"142",9,"PGDX17950P","healthy",0.0143961750218185,0.0282014185876849,0.0523996156371557,0.0288763987548846
"143",10,"PGDX17953P","healthy",0.0177072929336438,0.0716273493027844,0.0359051803961933,0.0317575161344256
"144",11,"PGDX17965P","healthy",0.0323698975083771,0.125952552583595,0.073035636530921,0.0444959142723338
"145",12,"PGDX18238P","healthy",0.0364023488224486,0.0404272771148773,0.101089563419364,0.0363521197729993
"146",13,"PGDX18251P","healthy",0.0364514432389514,0.222300925031285,0.0504338625807868,0.0576465384228467
"147",14,"PGDX18252P","healthy",0.00932792076445478,0.0548866261187603,0.0763368718411973,0.0348651568856809
"148",15,"PGDX18279P","healthy",0.0139813851296781,0.0192047422943223,0.0943462584682816,0.0328059058736311
"149",16,"PGDX18334P","healthy",0.0647559433577015,0.0641863334612484,0.0403113575138086,0.0314339683012714
"150",17,"PGDX18426P","healthy",0.0864161836445998,0.413743766499877,0.0969618546010575,0.131085450834576
"151",18,"PGDX18430P","healthy",0.07890852450969,0.203687417608656,0.117198160070489,0.0690960687010509
"152",19,"PGDX18435P","healthy",0.0638130294256706,0.0632528416414377,0.0530171892504141,0.0328842817864383
"153",20,"PGDX18439P","healthy",0.0153071645339954,0.582901739796543,0.179673975674922,0.282976284028854
"154",21,"PGDX18448P","healthy",0.0507624292143504,0.175701557842233,0.207384447105979,0.0870579190454411
"155",22,"PGDX18449P","healthy",0.0219135926761053,0.105647143540954,0.185812591933659,0.0630716839243315
"156",23,"PGDX18452P","healthy",0.027528063606756,0.00835422655046425,0.0303577382711819,0.0246765370953024
"157",24,"PGDX18458P","healthy",0.0104368327114184,0.0918012619781956,0.0498304872461206,0.0360320302670905
"158",25,"PGDX18460P","healthy",0.0129869143684241,0.0889706393672793,0.0492200932583186,0.0355818142566756
"159",26,"PGDX18690P","healthy",0.545050233877123,0.0897040831884495,0.168307365554451,0.0558685395390808
"160",27,"PGDX18698P","healthy",0.151574872839172,0.176671221732457,0.268162633186839,0.108442319215071
"161",28,"PGDX18703P","healthy",0.0169396662062454,0.0764247606714594,0.0578113637508292,0.0351300849372618
"162",1,"PGDX17744P","cancer",0.289844542625887,0.343957437364466,0.197171087606953,0.188257504889061
"163",2,"PGDX17746P","cancer",0.937767621664928,0.952419545750046,0.710984287759476,0.700243870560691
"164",3,"PGDX17749P","cancer",0.88711102135298,0.999528005823445,0.687274933699184,0.709700009772298
"165",4,"PGDX17752P","cancer",0.0306533038211441,0.187975645940783,0.0293072391913633,0.10626878197297
"166",5,"PGDX17758P","cancer",0.775623445330578,0.331866744903272,0.829302547356572,0.460582846975056
"167",6,"PGDX17949P","healthy",0.0136262080521619,0.259980758624995,0.124679354105816,0.143874239466699
"168",7,"PGDX17954P","healthy",0.0458349349152123,0.0228635587893409,0.0950454810133698,0.0890520221360004
"169",8,"PGDX17957P","healthy",0.00883214791987539,0.0255936241356304,0.0443390665687664,0.081192366078026
"170",9,"PGDX17982P","healthy",0.00822166583653556,0.0108928290081315,0.0322268997403798,0.077170420316425
"171",10,"PGDX17988P","healthy",0.0519260557401566,0.681373877181904,0.158530848250659,0.297306736678909
"172",11,"PGDX18233P","healthy",0.00924459289911471,0.00113724781427926,0.0630273082166986,0.0804343740056644
"173",12,"PGDX18234P","healthy",0.00770587829694362,0.0169588490585764,0.0303315441097236,0.0777626134211812
